growth_rate,Conductance,Time_s,Temperature ( in C ),Catalyst Layer Thickness ( in nm ),Run_ID,Status_of_Exp,,,,,
4.511,0.000215328,1098,625,2,1,Success,,,,,
4.154,0.000214227,1100,625,2,1,Success,,,,,
4.141,0.000213858,1102,625,2,1,Success,,,,,
4.099,0.000214359,1104,625,2,1,Success,,,,,
4.331,0.000214744,1106,625,2,1,Success,,,,,
4.422,0.000214221,1108,625,2,1,Success,,,,,
4.492,0.000213895,1110,625,2,1,Success,,,,,
4.381,0.000214711,1112,625,2,1,Success,,,,,
4.931,0.000214476,1114,625,2,1,Success,,,,,
4.925,0.00021565,1116,625,2,1,Success,,,,,
4.468,0.000215007,1118,625,2,1,Success,,,,,
4.522,0.000215481,1120,625,2,1,Success,,,,,
4.452,0.000214292,1122,625,2,1,Success,,,,,
4.169,0.000214233,1124,625,2,1,Success,,,,,
4.025,0.00021465,1126,625,2,1,Success,,,,,
4.194,0.000214749,1128,625,2,1,Success,,,,,
4.395,0.000215643,1130,625,2,1,Success,,,,,
4.486,0.000214457,1132,625,2,1,Success,,,,,
4.408,0.000214221,1134,625,2,1,Success,,,,,
4.354,0.000213769,1136,625,2,1,Success,,,,,
4.176,0.000212692,1138,625,2,1,Success,,,,,
3.964,0.000213533,1140,625,2,1,Success,,,,,
4.273,0.000213478,1142,625,2,1,Success,,,,,
4.392,0.000213299,1144,625,2,1,Success,,,,,
5.122,0.00021347,1146,625,2,1,Success,,,,,
4.997,0.000212983,1148,625,2,1,Success,,,,,
4.197,0.000214108,1150,625,2,1,Success,,,,,
4.238,0.000213978,1152,625,2,1,Success,,,,,
4.296,0.000213486,1154,625,2,1,Success,,,,,
4.525,0.000213231,1156,625,2,1,Success,,,,,
4.315,0.000213548,1158,625,2,1,Success,,,,,
4.139,0.000213775,1160,625,2,1,Success,,,,,
4.13,0.000213435,1162,625,2,1,Success,,,,,
4.126,0.000213722,1164,625,2,1,Success,,,,,
4.329,0.000213559,1166,625,2,1,Success,,,,,
4.344,0.000213707,1168,625,2,1,Success,,,,,
4.375,0.00021428,1170,625,2,1,Success,,,,,
4.334,0.000214222,1172,625,2,1,Success,,,,,
